Id;Kom.nr;Aarstal;GruppeId;Tal
289;825;2021;80;68.639
290;840;2021;80;14.975
291;846;2021;80;22.305
292;849;2021;80;25.389
293;851;2021;80;13.144
294;860;2021;80;23.248
295;101;2022;80;4.011
296;147;2022;80;20.236
297;151;2022;80;15.310
298;153;2022;80;7.814
299;155;2022;80;19.286
300;157;2022;80;26.762
301;159;2022;80;16.166
302;161;2022;80;13.733
303;163;2022;80;13.793
304;165;2022;80;31.453
305;167;2022;80;12.339
306;169;2022;80;10.814
307;173;2022;80;9.975
308;175;2022;80;22.158
309;183;2022;80;19.842
310;185;2022;80;U
311;187;2022;80;24.565
312;190;2022;80;58.870
313;201;2022;80;14.983
314;210;2022;80;8.289
315;217;2022;80;10.233
316;219;2022;80;12.781
317;223;2022;80;16.984
318;230;2022;80;24.497
319;240;2022;80;13.246
320;250;2022;80;16.185
321;260;2022;80;28.770
322;270;2022;80;18.613
323;400;2022;80;18.113
324;253;2022;80;13.906
325;259;2022;80;19.930
326;265;2022;80;18.770
327;269;2022;80;13.469
328;306;2022;80;20.606
329;316;2022;80;18.946
330;320;2022;80;11.134
331;326;2022;80;5.365
332;329;2022;80;14.084
333;330;2022;80;18.362
334;336;2022;80;12.670
335;340;2022;80;22.345
336;350;2022;80;20.459
337;360;2022;80;28.945
338;370;2022;80;16.010
339;376;2022;80;25.154
340;390;2022;80;24.134
341;410;2022;80;14.342
342;420;2022;80;17.500
343;430;2022;80;10.921
344;440;2022;80;20.830
345;450;2022;80;534
346;461;2022;80;9.427
347;479;2022;80;24.508
348;480;2022;80;6.743
349;482;2022;80;17.949
350;492;2022;80;55.051
351;510;2022;80;15.875
352;530;2022;80;3.699
353;540;2022;80;21.745
354;550;2022;80;14.854
355;561;2022;80;19.169
356;563;2022;80;22.976
357;573;2022;80;18.859
358;575;2022;80;15.188
359;580;2022;80;14.855
360;607;2022;80;28.140
361;621;2022;80;17.432
362;630;2022;80;13.740
363;615;2022;80;15.116
364;657;2022;80;13.391
365;661;2022;80;18.344
366;665;2022;80;19.340
367;671;2022;80;24.242
368;706;2022;80;19.630
369;707;2022;80;19.670
370;710;2022;80;10.657
371;727;2022;80;17.669
372;730;2022;80;17.726
373;740;2022;80;11.930
374;741;2022;80;119.659
375;746;2022;80;15.373
376;751;2022;80;18.922
377;756;2022;80;16.449
378;760;2022;80;20.140
379;766;2022;80;12.118
380;779;2022;80;17.617
381;791;2022;80;10.300
382;773;2022;80;25.171
383;787;2022;80;18.920
384;810;2022;80;19.012
385;813;2022;80;18.148
386;820;2022;80;24.057
387;825;2022;80;66.288
388;840;2022;80;13.732
389;846;2022;80;19.702
390;849;2022;80;24.778
391;851;2022;80;13.193
392;860;2022;80;23.297
