De Kommunale Nøgletal;;;;;;
;;;;;;
;Kom.nr;2019;2020;2021;2022;2023
;;;;;;
Langfristet gæld ultimo året pr. indb.;;;;;;
Holbæk Kommune;316;16.728;18.079;16.712;16.297;M
Faxe Kommune;320;8.049;9.256;8.841;8.323;M
Kalundborg Kommune;326;7.785;5.899;4.975;4.031;M
Ringsted Kommune;329;9.938;12.300;12.834;11.912;M
Slagelse Kommune;330;10.728;14.250;12.722;12.846;M
Stevns Kommune;336;9.365;10.493;9.535;9.293;M
Sorø Kommune;340;18.562;19.457;17.540;16.471;M
Lejre Kommune;350;11.299;15.282;12.693;14.036;M
Lolland Kommune;360;24.947;28.081;28.266;26.507;M
Næstved Kommune;370;12.072;13.727;11.345;10.095;M
Guldborgsund Kommune;376;23.777;25.257;23.912;22.907;M
Vordingborg Kommune;390;14.994;18.523;18.043;18.369;M
Middelfart Kommune;410;8.497;11.157;11.386;10.224;M
Assens Kommune;420;16.994;15.109;13.824;13.348;M
Faaborg-Midtfyn Kommune;430;9.797;11.362;10.606;10.552;M
Kerteminde Kommune;440;17.111;18.295;16.509;16.249;M
Nyborg Kommune;450;1.040;53;49;47;M
Odense Kommune;461;5.611;7.426;7.195;7.110;M
Svendborg Kommune;479;19.706;21.943;22.648;21.845;M
Nordfyns Kommune;480;3.414;5.079;4.378;3.165;M
Langeland Kommune;482;13.597;15.291;14.094;13.126;M
Ærø Kommune;492;45.505;50.405;54.761;53.499;M
Haderslev Kommune;510;10.939;13.797;13.807;12.537;M
Billund Kommune;530;1.108;3.269;6;21;M
Sønderborg Kommune;540;11.055;13.208;13.077;15.359;M
Tønder Kommune;550;9.125;11.319;11.282;11.224;M
Esbjerg Kommune;561;9.744;13.269;12.859;13.514;M
Fanø Kommune;563;15.212;20.985;22.002;22.976;M
Varde Kommune;573;9.772;11.704;11.871;12.233;M
Vejen Kommune;575;10.180;12.890;11.402;11.621;M
Aabenraa Kommune;580;11.356;13.672;12.880;12.469;M
Fredericia Kommune;607;15.762;23.478;24.727;23.123;M
Kolding Kommune;621;10.921;15.303;14.515;13.841;M
Vejle Kommune;630;7.867;9.640;8.671;8.627;M
Horsens Kommune;615;14.208;14.468;14.008;13.305;M
Herning Kommune;657;4.402;7.498;7.341;7.386;M
Holstebro Kommune;661;11.439;14.484;14.222;15.385;M
Lemvig Kommune;665;11.528;13.777;11.149;12.667;M
Struer Kommune;671;10.576;13.251;13.019;13.621;M
Syddjurs Kommune;706;12.578;15.449;16.168;15.465;M
Norddjurs Kommune;707;13.866;13.463;11.512;8.758;M
Favrskov Kommune;710;9.780;9.709;9.334;6.748;M
Odder Kommune;727;14.079;14.938;14.365;14.830;M
Randers Kommune;730;10.399;12.649;11.891;11.784;M
Silkeborg Kommune;740;5.402;7.134;8.515;8.501;M
Samsø Kommune;741;99.978;110.570;112.042;110.106;M
Skanderborg Kommune;746;7.481;9.929;9.529;9.909;M
Aarhus Kommune;751;14.471;10.816;12.760;12.752;M
Ikast-Brande Kommune;756;9.543;16.072;14.234;13.362;M
Ringkøbing-Skjern Kommune;760;11.151;13.949;13.957;15.199;M
Hedensted Kommune;766;10.298;13.419;12.132;11.555;M
Skive Kommune;779;12.022;11.388;11.606;10.979;M
Viborg Kommune;791;9.383;11.171;10.650;7.549;M
Morsø Kommune;773;13.709;16.043;16.635;16.703;M
Thisted Kommune;787;9.064;11.861;12.041;12.739;M
Brønderslev Kommune;810;16.421;17.674;18.195;17.842;M
Frederikshavn Kommune;813;19.758;20.602;19.971;17.517;M
Vesthimmerlands Kommune;820;16.352;17.557;18.543;17.016;M
Læsø Kommune;825;35.863;65.662;60.475;58.598;M
Rebild Kommune;840;8.356;12.727;12.211;11.648;M
Mariagerfjord Kommune;846;15.669;16.139;15.614;13.456;M
Jammerbugt Kommune;849;16.668;18.094;19.354;19.101;M
Aalborg Kommune;851;7.338;10.266;11.440;11.469;M
Hjørring Kommune;860;18.806;20.424;18.341;18.374;M
Gennemsnit;;11.170;12.635;12.384;12.071;M
;;;;;;
Langfristet gæld ekskl. feriepenge ult. året pr. indb.;;;;;;
Københavns Kommune;101;4.553;4.339;4.151;4.008;M
Frederiksberg Kommune;147;15.430;14.522;16.161;17.795;M
Ballerup Kommune;151;12.337;11.884;11.480;11.030;M
Brøndby Kommune;153;5.098;4.756;4.351;3.861;M
Dragør Kommune;155;16.627;18.903;17.964;17.152;M
Gentofte Kommune;157;22.465;25.116;25.944;26.419;M
Gladsaxe Kommune;159;18.014;17.630;17.491;15.852;M
Glostrup Kommune;161;8.553;8.683;10.647;10.396;M
Herlev Kommune;163;10.413;10.763;11.712;11.861;M
Albertslund Kommune;165;25.746;26.148;27.384;27.591;M
Hvidovre Kommune;167;8.406;8.788;8.905;9.053;M
Høje-Taastrup Kommune;169;12.606;12.188;11.543;10.814;M
Lyngby-Taarbæk Kommune;173;8.475;7.488;7.082;6.971;M
Rødovre Kommune;175;14.966;17.033;20.274;19.193;M
Ishøj Kommune;183;26.050;23.777;22.054;19.803;M
Tårnby Kommune;185;-;-;-;-;M
Vallensbæk Kommune;187;23.201;22.949;23.342;21.580;M
Furesø Kommune;190;61.488;61.092;58.892;56.392;M
Allerød Kommune;201;9.757;10.442;10.219;11.825;M
Fredensborg Kommune;210;9.924;8.424;7.021;5.478;M
Helsingør Kommune;217;9.130;8.348;8.026;8.386;M
Hillerød Kommune;219;10.982;11.333;11.288;9.662;M
Hørsholm Kommune;223;10.232;15.563;13.268;14.365;M
Rudersdal Kommune;230;16.610;17.012;20.711;21.484;M
Egedal Kommune;240;23.514;22.883;12.889;13.246;M
Frederikssund Kommune;250;17.786;16.655;13.984;13.168;M
Halsnæs Kommune;260;25.229;25.479;26.283;25.621;M
Gribskov Kommune;270;17.913;18.127;17.191;16.662;M
Bornholms Kommune;400;14.842;15.178;14.857;14.717;M
Greve Kommune;253;14.658;14.505;13.648;12.818;M
Køge Kommune;259;16.943;16.893;17.999;17.782;M
Roskilde Kommune;265;13.461;15.851;15.821;15.673;M
Solrød Kommune;269;13.709;12.780;11.797;10.742;M
Odsherred Kommune;306;17.438;17.993;17.890;17.649;M
Holbæk Kommune;316;18.947;18.263;16.804;16.353;M
Faxe Kommune;320;10.552;9.937;9.065;8.395;M
Kalundborg Kommune;326;8.489;7.463;6.424;5.365;M
Ringsted Kommune;329;11.530;11.692;12.095;11.059;M
Slagelse Kommune;330;16.089;16.842;15.444;15.431;M
Stevns Kommune;336;13.006;12.293;11.107;10.082;M
Sorø Kommune;340;24.680;23.032;21.274;19.712;M
Lejre Kommune;350;16.690;19.396;18.208;20.459;M
Lolland Kommune;360;26.683;27.451;27.962;25.939;M
Næstved Kommune;370;18.411;17.475;15.369;13.782;M
Guldborgsund Kommune;376;25.560;24.550;23.140;22.017;M
Vordingborg Kommune;390;20.659;21.496;20.750;20.706;M
Middelfart Kommune;410;12.494;13.137;13.156;12.218;M
Assens Kommune;420;21.111;19.845;18.252;17.500;M
Faaborg-Midtfyn Kommune;430;9.361;9.045;8.624;8.502;M
Kerteminde Kommune;440;21.856;20.705;19.969;20.830;M
Nyborg Kommune;450;692;641;586;534;M
Odense Kommune;461;7.584;7.223;7.283;7.082;M
Svendborg Kommune;479;21.962;21.783;22.349;21.684;M
Nordfyns Kommune;480;6.167;5.647;5.045;5.049;M
Langeland Kommune;482;18.121;16.911;15.494;14.195;M
Ærø Kommune;492;45.851;47.728;52.009;51.213;M
Haderslev Kommune;510;13.903;14.447;14.274;13.169;M
Billund Kommune;530;3.964;3.759;3.949;3.699;M
Sønderborg Kommune;540;18.336;17.166;17.061;19.146;M
Tønder Kommune;550;12.282;12.341;12.157;12.043;M
Esbjerg Kommune;561;13.801;14.821;15.511;16.014;M
Fanø Kommune;563;15.212;18.269;19.411;19.928;M
Varde Kommune;573;14.832;14.390;14.969;15.913;M
Vejen Kommune;575;11.732;12.284;13.315;13.364;M
Aabenraa Kommune;580;13.397;13.448;13.261;12.745;M
Fredericia Kommune;607;19.957;25.359;26.687;24.893;M
Kolding Kommune;621;14.165;15.271;15.405;14.415;M
Vejle Kommune;630;13.168;12.349;11.405;10.998;M
Horsens Kommune;615;13.999;13.576;13.073;12.252;M
Herning Kommune;657;10.086;11.025;10.593;10.593;M
Holstebro Kommune;661;14.231;14.948;14.429;15.347;M
Lemvig Kommune;665;18.615;18.354;18.342;19.340;M
Struer Kommune;671;21.696;22.101;21.336;20.936;M
Syddjurs Kommune;706;13.755;14.797;15.003;16.574;M
Norddjurs Kommune;707;25.026;22.178;19.790;17.215;M
Favrskov Kommune;710;12.935;12.356;11.722;10.657;M
Odder Kommune;727;16.600;15.712;15.144;15.681;M
Randers Kommune;730;16.682;16.253;15.710;15.269;M
Silkeborg Kommune;740;8.553;7.584;9.143;8.979;M
Samsø Kommune;741;111.599;117.600;117.833;115.287;M
Skanderborg Kommune;746;10.889;12.514;11.907;12.029;M
Aarhus Kommune;751;19.193;14.587;16.717;16.149;M
Ikast-Brande Kommune;756;11.241;15.535;14.993;14.342;M
Ringkøbing-Skjern Kommune;760;16.025;16.856;16.482;17.462;M
Hedensted Kommune;766;9.939;11.076;9.896;9.408;M
Skive Kommune;779;18.748;17.727;17.038;15.927;M
Viborg Kommune;791;11.802;11.379;10.670;10.300;M
Morsø Kommune;773;18.669;18.655;22.979;22.771;M
Thisted Kommune;787;15.351;15.376;15.176;15.331;M
Brønderslev Kommune;810;16.738;15.797;16.273;15.821;M
Frederikshavn Kommune;813;19.408;18.032;17.451;15.054;M
Vesthimmerlands Kommune;820;23.603;23.126;22.539;21.488;M
Læsø Kommune;825;43.446;69.249;63.864;61.499;M
Rebild Kommune;840;10.361;12.507;11.936;10.672;M
Mariagerfjord Kommune;846;22.082;22.002;20.916;18.683;M
Jammerbugt Kommune;849;22.346;22.551;22.802;22.149;M
Aalborg Kommune;851;8.233;9.133;10.347;10.573;M
Hjørring Kommune;860;23.267;22.417;21.829;21.870;M
Gennemsnit;;14.128;13.917;13.822;13.488;M
;;;;;;
Langfr. gæld ex. ældrebol./feriep. ult. året pr. indb.;;;;;;
Københavns Kommune;101;4.232;4.033;3.865;3.734;M
Frederiksberg Kommune;147;12.199;11.516;13.308;15.112;M
Ballerup Kommune;151;11.502;11.111;10.756;10.364;M
